0,0,0,0,0,0,0,0,0,0
0.001,2.26288e-09,-5.76749e-11,-1.14256e-10,6.78765e-06,-1.72984e-07,-3.42569e-07,0.0135714,-0.000345807,-0.00068434
0.002,1.80952e-08,-4.61076e-10,-9.12453e-10,2.7135e-05,-6.9129e-07,-1.36709e-06,0.0271195,-0.000690641,-0.0013639
0.003,6.10451e-08,-1.55504e-09,-3.07415e-09,6.10188e-05,-1.55394e-06,-3.06878e-06,0.0406442,-0.0010345,-0.00203869
0.004,1.44637e-07,-3.68342e-09,-7.27415e-09,0.000108416,-2.75997e-06,-5.44288e-06,0.0541455,-0.00137739,-0.00270873
0.005,2.82373e-07,-7.18911e-09,-1.41825e-08,0.000169302,-4.30839e-06,-8.48465e-06,0.0676236,-0.00171929,-0.00337401
0.006,4.8773e-07,-1.2414e-08,-2.44644e-08,0.000243655,-6.19823e-06,-1.21893e-05,0.0810783,-0.00206022,-0.00403455
0.007,7.74164e-07,-1.9699e-08,-3.87805e-08,0.000331451,-8.4285e-06,-1.65522e-05,0.0945097,-0.00240017,-0.00469037
0.008,1.15511e-06,-2.93842e-08,-5.77866e-08,0.000432667,-1.09982e-05,-2.15685e-05,0.107918,-0.00273913,-0.00534147
0.009,1.64396e-06,-4.18083e-08,-8.21337e-08,0.000547279,-1.39064e-05,-2.72335e-05,0.121303,-0.0030771,-0.00598785
0.01,2.25412e-06,-5.73095e-08,-1.12468e-07,0.000675264,-1.71521e-05,-3.35426e-05,0.134664,-0.00341409,-0.00662954
0.011,2.99894e-06,-7.62247e-08,-1.49432e-07,0.0008166,-2.07343e-05,-4.04911e-05,0.148003,-0.00375009,-0.00726654
0.012,3.89176e-06,-9.88899e-08,-1.93662e-07,0.000971262,-2.4652e-05,-4.80742e-05,0.161318,-0.0040851,-0.00789886
0.013,4.9459e-06,-1.2564e-07,-2.4579e-07,0.00113923,-2.89042e-05,-5.62872e-05,0.17461,-0.00441912,-0.00852651
0.014,6.17464e-06,-1.56809e-07,-3.06445e-07,0.00132047,-3.34899e-05,-6.51256e-05,0.187878,-0.00475213,-0.0091495
0.015,7.59127e-06,-1.92731e-07,-3.76249e-07,0.00151498,-3.84081e-05,-7.45847e-05,0.201124,-0.00508416,-0.00976784
0.016,9.20901e-06,-2.33736e-07,-4.5582e-07,0.00172271,-4.36578e-05,-8.46598e-05,0.214346,-0.00541518,-0.0103815
0.017,1.10411e-05,-2.80157e-07,-5.45772e-07,0.00194366,-4.92381e-05,-9.53462e-05,0.227545,-0.0057452,-0.0109906
